Season,Conference,Total_W,Total_L,Teams,Win_Pct
2017,DI Independent,56.0,6.0,1,0.9032258064516129
2017,SEC,594.0,394.0,16,0.6012145748987854
2017,ACC,564.0,381.0,16,0.5968253968253968
2017,Big 12,490.0,336.0,14,0.5932203389830508
2017,Conference USA,392.0,307.0,12,0.5608011444921316
2017,Big East,234.0,195.0,8,0.5454545454545454
2017,Atlantic Sun,253.0,213.0,8,0.5429184549356223
2017,Sun Belt,427.0,369.0,14,0.5364321608040201
2017,American Athletic,314.0,272.0,10,0.5358361774744027
2017,Big Ten,500.0,454.0,17,0.5241090146750524
2017,Southland,292.0,269.0,10,0.5204991087344029
2017,Southern Conference,267.0,251.0,9,0.5154440154440154
2017,Big West,285.0,275.0,10,0.5089285714285714
2017,Summit League,136.0,135.0,5,0.5018450184501845
2017,Ivy League,162.0,172.0,8,0.48502994011976047
2017,Atlantic 10,314.0,335.0,12,0.48382126348228044
2017,Ohio Valley,214.0,230.0,8,0.481981981981982
2017,West Coast,233.0,252.0,9,0.48041237113402063
2017,Mountain West,216.0,235.0,8,0.4789356984478936
2017,Big South,238.0,264.0,9,0.47410358565737054
2017,Missouri Valley,233.0,271.0,9,0.4623015873015873
2017,America East,162.0,189.0,7,0.46153846153846156
2017,Coastal Athletic,276.0,324.0,11,0.46
2017,WAC,100.0,125.0,4,0.4444444444444444
2017,Patriot League,136.0,178.0,6,0.43312101910828027
2017,Mid-American,283.0,379.0,12,0.42749244712990936
2017,Metro Atlantic,258.0,355.0,12,0.42088091353996737
2017,Northeast,163.0,230.0,8,0.41475826972010177
2017,SWAC,257.0,364.0,12,0.4138486312399356
2017,Horizon League,126.0,209.0,6,0.3761194029850746
2017,MEAC,34.0,67.0,2,0.33663366336633666
2017,Independent,16.0,77.0,2,0.17204301075268819
2018,DI Independent,55.0,12.0,1,0.8208955223880597
2018,SEC,621.0,382.0,16,0.6191425722831505
2018,ACC,548.0,375.0,16,0.5937161430119177
