team,full_name,conference,season,week,n_pitchers,fip_mean,fip_std,fip_p10,fip_p25,fip_p50,fip_p75,fip_p90,n_returning_pitchers,n_unknown_pitchers,ip_coverage
ORST,Oregon St.,DI Independent,2026,,14,4.662477852469867,0.28307987252526906,4.301133686084276,4.47254834514813,4.660641898915466,4.852160886309134,5.031887528797786,14,0,1.0
USM,Southern Miss.,Sun Belt,2026,,13,4.7455275490056925,0.3350223489954492,4.319330999404802,4.516954494757757,4.739721619663575,4.968124591892611,5.1836330394662,13,0,1.0
YALE,Yale,Ivy League,2026,,7,4.82641902219302,0.3982534049840047,4.31549958601598,4.554652907759076,4.822091445355418,5.097919683833372,5.336613206534752,7,0,1.0
CCU,Coastal Carolina,Sun Belt,2026,,12,4.850288902587533,0.34219356365610276,4.415303417144733,4.620171496187273,4.84545904810745,5.079973087158492,5.287104902202891,12,0,1.0
SEMO,Southeast Mo. St.,Ohio Valley,2026,,15,4.854321094972346,0.33316272099055133,4.4327469037634355,4.625048347118308,4.8514349028372745,5.079631209108133,5.285512482967187,15,0,1.0
TENN,Tennessee,SEC,2026,,13,4.859816585509489,0.3241177281020965,4.44481689759514,4.640433614706996,4.858920905347086,5.077973952843527,5.268864519259415,13,0,1.0
FGCU,FGCU,Atlantic Sun,2026,,16,4.870445679249096,0.3691568602896212,4.399716857332569,4.621854977563096,4.865716735583659,5.11704892147445,5.348619945314723,16,0,1.0
ARK,Arkansas,SEC,2026,,13,4.875117062198988,0.3730654199683284,4.398024586371254,4.625368054174244,4.8723811839228315,5.124940305648982,5.353815667197577,13,0,1.0
LSU,LSU,SEC,2026,,19,4.887224851257533,0.2901866362397298,4.51980883481823,4.688822790511298,4.882748144525811,5.0876410330851085,5.254715202133342,19,0,1.0
UCSB,UC Santa Barbara,Big West,2026,,10,4.910996864785847,0.33323786381051923,4.48351231281654,4.680495034146979,4.9117512596502095,5.132039754103386,5.344067890969527,10,0,1.0
CLEM,Clemson,ACC,2026,,14,4.924834151113564,0.36086339121377276,4.460010645518752,4.675693920903157,4.926145579485531,5.171603999119887,5.394355075098179,14,0,1.0
VAN,Vanderbilt,SEC,2026,,16,4.936271728167137,0.3358307903373587,4.507610303758372,4.710650103418272,4.9352132630012004,5.163698333171025,5.3628083070456585,16,0,1.0
PENN,Penn,Ivy League,2026,,10,4.992035833936592,0.4356272289075953,4.432503904648211,4.692875903978507,4.990324124166733,5.281374974525198,5.547940146222013,10,0,1.0
UCI,UC Irvine,Big West,2026,,14,5.00101697726755,0.2939766267624599,4.633506212413122,4.7976842286749815,5.000213973405805,5.200692869505321,5.378694983545174,14,0,1.0
BCU,Bethune-Cookman,SWAC,2026,,19,5.012573602597756,0.3420558555284164,4.580366948583865,4.779308625216513,5.005247891458813,5.240378846034563,5.46055339812982,19,0,1.0
TEX,Texas,SEC,2026,,14,5.024461898104505,0.26335715730106946,4.686517968056296,4.847233557161008,5.026517684049834,5.20254490196297,5.359678108670785,14,0,1.0
AUB,Auburn,SEC,2026,,15,5.037258254086988,0.3268495118984738,4.621904791118852,4.813789713116529,5.033629172438851,5.263351553301202,5.455331962431028,15,0,1.0
UL,Louisiana,Sun Belt,2026,,12,5.056681203384799,0.3589543720281208,4.5989828517876665,4.81566189186695,5.051682669730232,5.295410010058352,5.5220888348445225,12,0,1.0
MISS,Ole Miss,SEC,2026,,15,5.070778409305409,0.3188832773944375,4.658984430054281,4.853250146716538,5.069953111804407,5.28647600266063,5.478977439616317,15,0,1.0
TCU,TCU,Big 12,2026,,16,5.076338721842502,0.3015404177854812,4.691196741784728,4.873702221831945,5.076750128496819,5.27940161643443,5.463408854566681,16,0,1.0
GONZ,Gonzaga,West Coast,2026,,12,5.085652062686329,0.36212463417992874,4.6206290345165675,4.838537167306501,5.090739354674235,5.330611081929094,5.550432814784404,12,0,1.0
MCN,Mercer,Southern Conference,2026,,18,5.095398118750412,0.4375642195624436,4.534074412023477,4.80423638219974,5.093180179769115,5.389306993144654,5.65030022116423,18,0,1.0
CONN,UConn,Big East,2026,,15,5.112152224083008,0.3129588383318111,4.714526771151876,4.897239510890833,5.107784752412173,5.321932183079078,5.518156976380779,15,0,1.0
ECU,East Carolina,American Athletic,2026,,15,5.116069733757809,0.2963706759196625,4.739468031229383,4.91572602964013,5.113517289992068,5.316601627322249,5.496035986442333,15,0,1.0
MSST,Mississippi St.,SEC,2026,,17,5.117822875012493,0.3382466734045024,4.68551266988681,4.887447084440385,5.115188336820747,5.345174185840659,5.553463109322332,17,0,1.0
FRES,Fresno St.,Mountain West,2026,,11,5.120255475861901,0.5123453061728497,4.468452136630489,4.7738514732297395,5.112753502728629,5.4653359510672,5.779165151235207,11,0,1.0
ILL,Illinois,Big Ten,2026,,15,5.126943240891548,0.26709768160184716,4.786209368975804,4.944201363945204,5.12633319389961,5.306466567897721,5.471514560752226,15,0,1.0
STMN,Saint Mary's (CA),West Coast,2026,,13,5.1308715118991834,0.4080443257953209,4.608921580369033,4.853550343655001,5.127070638780233,5.40965656346933,5.657549870147588,13,0,1.0
TA&M,Texas A&M,SEC,2026,,10,5.135792672434577,0.34379345987237486,4.6978451740692515,4.904837012151704,5.132303067656467,5.36749543405201,5.577887581897392,10,0,1.0
ARIZ,Arizona,Big 12,2026,,16,5.141132898183255,0.2890471680298182,4.770619794650897,4.943145037231853,5.138995093669184,5.334447653487047,5.51500187037696,16,0,1.0
UTA,UT Arlington,WAC,2026,,13,5.15044160687657,0.4289981848679112,4.601772489636938,4.856316551915193,5.148650333423712,5.437854494414427,5.704254507908542,13,0,1.0
UK,Kentucky,SEC,2026,,17,5.15212228762915,0.28882281545266913,4.790904165126089,4.951252998144007,5.149550405633284,5.3443662751464105,5.529573527212578,17,0,1.0
CBU,California Baptist,WAC,2026,,15,5.15366732667511,0.3353170461186888,4.720664029894702,4.927124286035799,5.15349937488795,5.377136156824745,5.5853045012363,15,0,1.0
HAW,Hawaii,Big West,2026,,16,5.175704524156657,0.3589377184625367,4.713486080817695,4.932037332771137,5.179440092202928,5.415950415639198,5.635810365751514,16,0,1.0
UNC,North Carolina,ACC,2026,,13,5.177130224925569,0.29240019556931957,4.805907478502322,4.98147850604274,5.176880309273386,5.372709244292772,5.5501565226617515,13,0,1.0
KENT,Kent St.,Mid-American,2026,,13,5.180821945099745,0.3208758506587427,4.764529270856456,4.96429092584073,5.178204675026821,5.396089376704395,5.59302913473898,13,0,1.0
TOL,Toledo,Mid-American,2026,,10,5.189829076602859,0.49721423181051955,4.551946184028408,4.850918251796833,5.191239277132798,5.52461312048181,5.827375368293642,10,0,1.0
