rank,team,season,week,n_pitchers,fip_mean,fip_std,fip_p10,fip_p25,fip_p50,fip_p75,fip_p90,n_returning_pitchers,n_unknown_pitchers,ip_coverage
1,ORST,2026,,13,4.998772431461642,0.33960647184949,4.56869518453446,4.770484908497774,4.992619440305257,5.2255800513174515,5.434677302318568,13,0,1.0
2,TEX,2026,,11,5.022238280012321,0.3302649513605651,4.597460769558486,4.795108511629756,5.021052573668012,5.2517092568341806,5.440445704137974,11,0,1.0
3,UCSB,2026,,9,5.068027675206562,0.429101581141267,4.528075531435255,4.770996265423792,5.059298991870872,5.361005797051539,5.628837800056391,9,0,1.0
4,UK,2026,,14,5.146742221413805,0.3501856510567756,4.702001002595759,4.907177652008965,5.143454949995155,5.382729783890436,5.597225090725993,14,0,1.0
5,ARK,2026,,12,5.183771026936191,0.4254100841738448,4.634743767934102,4.897723110031414,5.18218368756763,5.465423583212107,5.730578493651094,12,0,1.0
6,TA&M,2026,,9,5.199220219414501,0.44330395985571924,4.636124864265628,4.8990910361502324,5.1948416652846525,5.500020995341708,5.7653613269893915,9,0,1.0
7,FLA,2026,,13,5.2205330381301565,0.3305342817352705,4.7964386046311525,5.000719546524148,5.2197403945672365,5.438943259711453,5.64642948369509,13,0,1.0
8,TENN,2026,,12,5.24805006603081,0.3550003354244497,4.790817519892514,5.009872978698058,5.24907102701881,5.489098126270259,5.703214337616634,12,0,1.0
9,RGV,2026,,15,5.2570769937894495,0.3601385421159339,4.798818400613642,5.013504273014452,5.251694068574345,5.50481609079135,5.723366887403153,15,0,1.0
10,KSU,2026,,13,5.271794259908251,0.3441952850188903,4.834346069037484,5.037290987201853,5.268999421614799,5.504964603157819,5.71392354809429,13,0,1.0
11,ARIZ,2026,,13,5.303642298678528,0.3336684829625213,4.880090537326555,5.075174229171443,5.300569293675995,5.526553787851801,5.7307734410726905,13,0,1.0
12,UNC,2026,,13,5.304835591284529,0.3267778640431162,4.8835257166299355,5.087444239092293,5.306080937097122,5.523127356730834,5.71975621962851,13,0,1.0
13,ASU,2026,,15,5.317399405115903,0.31805810158343045,4.913801981973324,5.106116329143088,5.312160565372345,5.5300525129947875,5.723036503918452,15,0,1.0
14,AUB,2026,,15,5.3206791238193025,0.3597814067651266,4.86538179324307,5.074143918425712,5.32047536712008,5.560383620526055,5.780262017964681,15,0,1.0
15,MRSH,2026,,11,5.3448778135409025,0.3998571809846564,4.840085729239924,5.074356777979215,5.337501250663781,5.613092691743757,5.865696155869533,11,0,1.0
16,UCI,2026,,10,5.347133854934101,0.3744790854475999,4.866043669540906,5.096469339939365,5.350499594573105,5.597042560578055,5.822094541263166,10,0,1.0
17,CIN,2026,,12,5.348563277589342,0.32040820676910553,4.9370848470141615,5.13901272625896,5.346551482481709,5.561833557332232,5.757386225879765,12,0,1.0
18,USM,2026,,13,5.351725002764121,0.38680891445321514,4.862051985458088,5.090173885387113,5.3504921557615805,5.612031013823903,5.848608278648328,13,0,1.0
19,SC,2026,,15,5.36148366141577,0.3376043272271254,4.933403272230329,5.13459573348098,5.3590732445888705,5.591473019195037,5.797936342157979,15,0,1.0
20,TCU,2026,,14,5.361853903283486,0.3589038999382338,4.904173470107052,5.117530827626319,5.359627152830809,5.604932783362668,5.823919483771438,14,0,1.0
21,ALA,2026,,15,5.376350642579838,0.29881662290889616,4.993039904191857,5.1761343442488466,5.378075252027967,5.577526349011625,5.7560186915547105,15,0,1.0
22,UGA,2026,,14,5.377656395163981,0.3198093163604318,4.97071752744425,5.161648703503006,5.375840529366578,5.593217777832571,5.788581808762797,14,0,1.0
23,SEMO,2026,,13,5.402454358644294,0.36437433511988543,4.935116745048236,5.157974635639594,5.3960031177986725,5.649125699535876,5.87359176213267,13,0,1.0
