Season,Name,Conference,W,L,T,PCT
2017,A&M-Corpus Christi,Southland,22.0,32.0,0.0,0.407
2018,A&M-Corpus Christi,Southland,30.0,26.0,0.0,0.536
2019,A&M-Corpus Christi,Southland,31.0,26.0,0.0,0.544
2021,A&M-Corpus Christi,Southland,25.0,29.0,0.0,0.463
2022,A&M-Corpus Christi,Southland,27.0,28.0,0.0,0.491
2023,A&M-Corpus Christi,Southland,24.0,30.0,0.0,0.444
2024,A&M-Corpus Christi,Southland,22.0,35.0,0.0,0.386
2025,A&M-Corpus Christi,Southland,21.0,31.0,0.0,0.40384615384615385
2018,Abilene Christian,WAC,21.0,33.0,0.0,0.389
2019,Abilene Christian,WAC,26.0,26.0,0.0,0.5
2021,Abilene Christian,WAC,36.0,21.0,0.0,0.632
2022,Abilene Christian,WAC,30.0,29.0,0.0,0.508
2023,Abilene Christian,WAC,35.0,24.0,0.0,0.593
2024,Abilene Christian,WAC,33.0,25.0,0.0,0.569
2025,Abilene Christian,WAC,34.0,23.0,0.0,0.5964912280701754
2017,Air Force,Mountain West,27.0,26.0,0.0,0.509
2018,Air Force,Mountain West,24.0,30.0,0.0,0.444
2019,Air Force,Mountain West,26.0,26.0,0.0,0.5
2021,Air Force,Mountain West,26.0,22.0,0.0,0.542
2022,Air Force,Mountain West,32.0,29.0,0.0,0.525
2023,Air Force,Mountain West,28.0,31.0,0.0,0.475
2024,Air Force,Mountain West,27.0,28.0,0.0,0.491
2025,Air Force,Mountain West,20.0,34.0,0.0,0.37037037037037035
2021,Akron,Mid-American,15.0,36.0,0.0,0.294
2022,Akron,Mid-American,15.0,41.0,0.0,0.268
2023,Akron,Mid-American,21.0,34.0,0.0,0.382
2024,Akron,Mid-American,15.0,39.0,0.0,0.278
2025,Akron,Mid-American,20.0,34.0,0.0,0.37037037037037035
2017,Alabama,SEC,19.0,34.0,1.0,0.361
2018,Alabama,SEC,27.0,29.0,0.0,0.482
2019,Alabama,SEC,30.0,26.0,0.0,0.536
2021,Alabama,SEC,32.0,26.0,0.0,0.552
2022,Alabama,SEC,31.0,27.0,0.0,0.534
2023,Alabama,SEC,43.0,21.0,0.0,0.672
2024,Alabama,SEC,33.0,24.0,0.0,0.579
2025,Alabama,SEC,41.0,18.0,0.0,0.6949152542372882
2017,Alabama A&M,SWAC,12.0,45.0,0.0,0.211
2018,Alabama A&M,SWAC,12.0,37.0,0.0,0.245
2019,Alabama A&M,SWAC,16.0,35.0,0.0,0.314
2021,Alabama A&M,SWAC,9.0,20.0,0.0,0.31
2022,Alabama A&M,SWAC,14.0,35.0,0.0,0.286
2023,Alabama A&M,SWAC,14.0,34.0,0.0,0.292
2024,Alabama A&M,SWAC,13.0,38.0,0.0,0.255
2025,Alabama A&M,SWAC,,,,
2017,Alabama St.,SWAC,31.0,25.0,0.0,0.554
2018,Alabama St.,SWAC,30.0,22.0,0.0,0.577
2019,Alabama St.,SWAC,28.0,26.0,0.0,0.519
2021,Alabama St.,SWAC,23.0,19.0,0.0,0.548
2022,Alabama St.,SWAC,34.0,25.0,0.0,0.576
2023,Alabama St.,SWAC,41.0,18.0,0.0,0.695
2024,Alabama St.,SWAC,29.0,27.0,0.0,0.518
2025,Alabama St.,SWAC,31.0,29.0,0.0,0.5166666666666667
2017,Alcorn,SWAC,12.0,33.0,0.0,0.267
2018,Alcorn,SWAC,13.0,39.0,0.0,0.25
2019,Alcorn,SWAC,14.0,31.0,0.0,0.311
2021,Alcorn,SWAC,7.0,20.0,0.0,0.259
2022,Alcorn,SWAC,2.0,39.0,0.0,0.049
2023,Alcorn,SWAC,8.0,40.0,0.0,0.167
2024,Alcorn,SWAC,6.0,43.0,0.0,0.122
2025,Alcorn,SWAC,,,,
2017,App State,Sun Belt,19.0,36.0,0.0,0.345
2018,App State,Sun Belt,18.0,36.0,0.0,0.333
2019,App State,Sun Belt,22.0,31.0,0.0,0.415
2021,App State,Sun Belt,21.0,31.0,0.0,0.404
2022,App State,Sun Belt,20.0,33.0,0.0,0.377
2023,App State,Sun Belt,30.0,25.0,0.0,0.545
2024,App State,Sun Belt,33.0,21.0,1.0,0.609
2025,App State,Sun Belt,23.0,31.0,0.0,0.42592592592592593
2017,Arizona,Big 12,38.0,21.0,0.0,0.644
2018,Arizona,Big 12,34.0,22.0,0.0,0.607
2019,Arizona,Big 12,32.0,24.0,0.0,0.571
2021,Arizona,Big 12,45.0,18.0,0.0,0.714
2022,Arizona,Big 12,39.0,25.0,0.0,0.609
2023,Arizona,Big 12,33.0,26.0,0.0,0.559
2024,Arizona,Big 12,36.0,23.0,0.0,0.61
2025,Arizona,Big 12,44.0,21.0,0.0,0.676923076923077
2017,Arizona St.,Big 12,23.0,32.0,0.0,0.418
2018,Arizona St.,Big 12,23.0,32.0,0.0,0.418
2019,Arizona St.,Big 12,38.0,19.0,0.0,0.667
2021,Arizona St.,Big 12,33.0,22.0,0.0,0.6
2022,Arizona St.,Big 12,26.0,32.0,0.0,0.448
2023,Arizona St.,Big 12,32.0,23.0,0.0,0.582
2024,Arizona St.,Big 12,32.0,26.0,0.0,0.552
2025,Arizona St.,Big 12,36.0,24.0,0.0,0.6
2017,Ark.-Pine Bluff,SWAC,15.0,31.0,0.0,0.326
2018,Ark.-Pine Bluff,SWAC,20.0,25.0,0.0,0.444
2019,Ark.-Pine Bluff,SWAC,8.0,42.0,0.0,0.16
2021,Ark.-Pine Bluff,SWAC,8.0,30.0,0.0,0.211
2022,Ark.-Pine Bluff,SWAC,13.0,36.0,1.0,0.27
2023,Ark.-Pine Bluff,SWAC,18.0,33.0,0.0,0.353
2024,Ark.-Pine Bluff,SWAC,15.0,34.0,0.0,0.306
2025,Ark.-Pine Bluff,SWAC,19.0,34.0,0.0,0.3584905660377358
2017,Arkansas,SEC,45.0,19.0,0.0,0.703
2018,Arkansas,SEC,48.0,21.0,0.0,0.696
2019,Arkansas,SEC,46.0,20.0,0.0,0.697
2021,Arkansas,SEC,50.0,13.0,0.0,0.794
2022,Arkansas,SEC,46.0,21.0,0.0,0.687
2023,Arkansas,SEC,43.0,18.0,0.0,0.705
2024,Arkansas,SEC,44.0,16.0,0.0,0.733
2025,Arkansas,SEC,50.0,15.0,0.0,0.7692307692307693
2017,Arkansas St.,Sun Belt,28.0,27.0,0.0,0.509
