G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wBsR,Age,MaxAge,Season,PlayerName,Team,UPID,UPURL,xMLBAMID,teamid,FullTeamName,download_timestamp
2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.5,3.5,1.5,0.14285714,1.0,2.2551768927974423,2.050263157407733,1.3593014776706696,1100.549403634899,0.013703126460313797,,,2026,Cade Palkowski,MILW,sa3060199,/players/cade-palkowski/sa3060199/stats/batting,,302,University of Wisconsin Milwaukee ,2026-02-19T18:11:28.405196
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.14285714,0.0,1.5449968942174102,1.4000000127324248,1.6698319911956787,1065.5380159865003,0.0,19.0,19.0,2026,Chase Hanawalt,FOR,sa3059404,/players/chase-hanawalt/sa3059404/stats/pitching,,80,Fordham University ,2026-02-19T18:11:28.405196
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.14285714,0.0,1.5491258354922663,1.4000000210544001,1.9451162815093994,1038.8046102760532,0.0,21.0,21.0,2026,Mike Villani,STBK,sa3065441,/players/mike-villani/sa3065441/stats/batting,,253,Stony Brook University ,2026-02-19T18:11:28.405196
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.14285714,0.0,1.562693750824972,1.4000000118875942,1.7892135381698608,960.5125317246934,0.0,,,2026,Andrew Taylor,RGV,sa3073814,/players/andrew-taylor/sa3073814/stats/batting,,268,University of Texas Rio Grande Valley,2026-02-19T18:11:28.405196
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.14285714,0.0,1.5667677522376529,1.4000000060275546,1.7699741125106812,939.4908714925,0.0,,,2026,Jake Vrlak,M-OH,sa3066101,/players/jake-vrlak/sa3066101/stats/batting,,149,Miami University (Ohio) ,2026-02-19T18:11:28.405196
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.14285714,0.0,1.5758697468797498,1.3999999839822583,1.9615331888198853,896.0435955089512,0.0,,,2026,Seth Giamportone,MEM,sa3073719,/players/seth-giamportone/sa3073719/stats/batting,,144,University of Memphis ,2026-02-19T18:11:28.405196
2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,2.0,3.0,1.0,2.64285714,1.0,2.3079724625410316,2.0344923750223396,1.0475542843341827,843.9270600947443,0.017946582287549973,22.0,22.0,2026,Christian Knight,WAG,sa3035542,/players/christian-knight/sa3035542/stats/batting,,289,Wagner College ,2026-02-19T18:11:28.405196
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.14285714,0.0,1.5951796858097353,1.4000000296617785,1.813050627708435,817.2878860901885,0.0,,,2026,Landon Boyd,AFA,sa3027510,/players/landon-boyd/sa3027510/stats/batting,,2,U.S. Air Force Academy ,2026-02-19T18:11:28.405196
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.14285714,1.0,1.081486290401375,0.944746246642029,0.9969457983970642,790.90678975116,0.017946582287549973,,,2026,Jack Malec,MERC,sa3065087,/players/jack-malec/sa3065087/stats/batting,,311,Mercyhurst College ,2026-02-19T18:11:28.405196
2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,7.5,1.0,0.7224421230343069,0.627453784385034,0.9878139495849609,760.558752060916,0.21999529376626015,,,2026,Michael Fiatarone,BRY,sa3070076,/players/michael-fiatarone/sa3070076/stats/batting,,31,Bryant University ,2026-02-19T18:11:28.405196
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.14285714,1.0,1.086043398953522,0.9410465174685367,1.2401297092437744,749.0115565457754,0.0,,,2026,Christian LaMothe,SBU,sa3070554,/players/christian-lamothe/sa3070554/stats/batting,,243,St. Bonaventure University ,2026-02-19T18:11:28.405196
