Season,Player,Team,Class,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS,K%,BB%,K:BB,ISO,BABIP,wOBA,wRC,wRAA,wRC+,GB%,LD%,FB%,PU%,HR/FB%
2025,AJ Anderson,Alabama A&M,JR,SS,0.274,0.367,0.348,0.715,39,159,135,23,37,5,1,1,17,1,20,20,9,3,12.6%,12.6%,1.0,0.074,0.31,0.342,20,-5,80,44.5%,20.0%,35.5%,5.5%,2.6%
2025,AJ Brotz,Marist,JR,2B,0.297,0.387,0.338,0.725,54,259,219,41,65,5,2,0,32,9,24,17,16,3,6.6%,9.3%,0.71,0.041,0.32,0.352,34,-6,85,48.4%,14.2%,37.4%,5.3%,0.0%
2025,AJ Cappell,Nicholls,FR,2B,0.217,0.286,0.226,0.512,37,129,115,11,25,1,0,0,8,4,7,32,4,0,24.8%,5.4%,4.59,0.009,0.301,0.254,7,-13,35,43.8%,17.5%,38.8%,10.0%,0.0%
2025,AJ Evasco,Kansas State,FR,RF,0.311,0.38,0.554,0.934,56,221,193,52,60,12,1,11,52,6,18,31,3,3,14.0%,8.1%,1.73,0.244,0.316,0.412,40,5,116,41.3%,22.8%,35.9%,5.4%,18.3%
2025,AJ Gracia,Duke,SO,CF,0.293,0.449,0.558,1.007,60,285,215,57,63,10,1,15,54,7,57,36,8,1,12.6%,20.0%,0.63,0.265,0.286,0.448,60,15,134,33.1%,17.1%,49.7%,9.9%,16.7%
2025,AJ Groeneveld,Eastern Kentucky,FR,RF,0.3,0.404,0.413,0.817,50,190,160,24,48,8,2,2,14,3,25,41,11,0,21.6%,13.2%,1.64,0.113,0.393,0.386,30,1,102,48.7%,17.9%,33.3%,8.5%,5.1%
2025,AJ Guerrero,Washington,SR,LF,0.321,0.413,0.532,0.945,53,254,218,42,70,16,0,10,39,4,31,36,5,4,14.2%,12.2%,1.16,0.211,0.347,0.426,49,9,123,38.7%,16.0%,45.3%,2.8%,12.2%
2025,AJ Havrilla,Marshall,SO,1B,0.287,0.42,0.446,0.866,58,257,195,36,56,16,0,5,45,15,37,33,4,0,12.8%,14.4%,0.89,0.159,0.305,0.401,44,4,110,31.8%,21.2%,47.1%,9.4%,6.3%
2025,AJ Martin,Charleston Southern,JR,2B,0.316,0.414,0.557,0.97,52,249,212,58,67,13,1,12,52,9,27,30,12,4,12.0%,10.8%,1.11,0.241,0.322,0.434,49,11,127,44.9%,15.2%,39.9%,5.6%,16.9%
2025,AJ Nessler,Pittsburgh,JR,LF,0.324,0.439,0.454,0.893,55,255,207,43,67,10,1,5,44,9,36,23,8,2,9.0%,14.1%,0.64,0.13,0.341,0.414,47,7,117,47.8%,17.4%,34.8%,7.6%,7.8%
