Round,Pick,Name,Pos,School,School_Class,Signed,Bonus
1,1,Eli Willits,SS,Fort Cobb-Broxton HS,HS SR,Y,8200000
1,2,Tyler Bremner,P,UC Santa Barbara,4YR JR,Y,7689525
1,3,Kade Anderson,P,LSU,4YR SO,Y,8800000
1,4,Ethan Holliday,SS,Stillwater HS,HS SR,Y,9000000
1,5,Liam Doyle,P,Tennessee,4YR JR,Y,7250000
1,6,Seth Hernandez,P,Corona HS,HS SR,Y,7250000
1,7,Aiva Arquette,SS,Oregon State,4YR JR,Y,7149900
1,8,JoJo Parker,SS,Purvis HS,HS SR,Y,6197500
1,9,Steele Hall,SS,Hewitt-Trussville HS,HS SR,Y,5750000
1,10,Billy Carlson,SS,Corona HS,HS SR,Y,6235900
1,11,Jamie Arnold,P,Florida State,4YR JR,Y,5985100
1,12,Gavin Fien,3B,Great Oak HS,HS SR,Y,4800000
1,13,Gavin Kilen,SS,Tennessee,4YR JR,Y,5247500
1,14,Daniel Pierce,SS,Mill Creek HS,HS SR,Y,4313100
1,15,Kyson Witherspoon,P,Oklahoma,4YR JR,Y,5000000
1,16,Marek Houston,SS,Wake Forest,4YR JR,Y,4497500
1,17,Ethan Conrad,OF,Wake Forest,4YR JR,Y,3563100
1,18,Kayson Cunningham,SS,Lady Bird Johnson HS,HS SR,Y,4581900
1,19,Ike Irish,C,Auburn,4YR JR,Y,4418400
1,20,Andrew Fischer,3B,Tennessee,4YR JR,Y,3500000
1,21,Xavier Neyens,SS,Mt. Vernon HS,HS SR,Y,4120000
1,22,Tate Southisene,SS,Basic HS,HS SR,Y,2622500
1,23,Sean Gamble,OF,IMG Academy,HS SR,Y,3997500
1,24,Jordan Yost,SS,Sickles HS,HS SR,Y,3250000
1,25,Kruz Schoolcraft,P,Sunset HS,HS SR,Y,3606600
1,26,Gage Wood,P,Arkansas,4YR JR,Y,3000000
1,27,Jace LaViolette,OF,Texas A&M,4YR JR,Y,4000000
1,38,Mitch Voit,2B,Michigan,4YR JR,Y,1750000
1,39,Dax Kilby,SS,Newnan HS,HS SR,Y,2797500
1,40,Zachary Root,P,Arkansas,4YR JR,Y,2197500
PPI,28,Josh Hammond,SS,Wesleyan Christian Academy,HS SR,Y,3197500
1C,29,Patrick Forbes,P,Louisville,4YR JR,Y,3000000
1C,30,Caden Bodine,C,Coastal Carolina,4YR JR,Y,3113300
