Season,Player,Team,Class,W,L,ERA_x,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,K,HBP,BA,OBP,SLG,OPS,BABIP,BB%,K%,K-BB%,K:BB,WHIP,ERA_y,FIP,xFIP,SIERA,LOB%,GB%,LD%,FB%,PU%,HR/FB%
2023,AJ Causey,Jacksonville State,SO,5,2,5.07,15,14,1,0,0,76.1,82,48,43,23,89,14,0.273,0.352,0.48,0.832,0.35,6.7%,26.0%,19.3%,3.88,1.38,5.07,5.34,4.47,3.01,73.4%,48.6%,21.2%,30.3%,6.3%,19.0%
2023,Abraham Deleon,Texas Southern,JR,6,3,3.93,18,15,0,0,1,89.1,72,45,39,37,114,29,0.222,0.352,0.349,0.701,0.317,9.4%,28.9%,19.5%,3.07,1.22,3.93,4.86,5.02,2.96,75.7%,51.5%,13.2%,35.3%,4.9%,9.7%
2023,Adam Mrakitsch,Central Michigan,SO,8,4,3.59,15,15,1,0,0,92.2,66,39,37,33,80,6,0.196,0.278,0.289,0.566,0.237,8.6%,20.9%,12.3%,2.43,1.07,3.59,4.53,5.42,3.93,72.5%,44.0%,12.4%,43.6%,6.8%,5.5%
2023,Adam Shew,San Francisco,SO,3,3,4.97,12,12,0,0,0,58.0,80,34,32,15,58,12,0.311,0.374,0.463,0.837,0.373,5.2%,20.1%,14.9%,3.87,1.64,4.97,5.26,4.88,3.58,71.0%,45.5%,26.5%,28.0%,4.5%,14.3%
2023,Aeden Finateri,Georgia Tech,SO,2,4,4.64,23,4,0,0,2,64.0,68,38,33,17,56,8,0.266,0.329,0.461,0.79,0.295,6.0%,19.6%,13.7%,3.27,1.33,4.64,6.02,5.2,3.75,61.7%,50.3%,13.6%,36.2%,5.0%,16.7%
2023,Aidan Kidd,New Jersey Tech,JR,5,2,4.48,14,14,0,0,0,66.1,54,33,33,34,92,16,0.228,0.354,0.312,0.666,0.342,11.4%,30.9%,19.5%,2.71,1.33,4.48,4.23,5.2,2.96,73.1%,32.4%,19.6%,48.0%,10.8%,4.2%
2023,Aidan Tyrell,Notre Dame,GR,8,3,3.88,16,6,0,0,1,69.2,64,36,30,26,59,4,0.244,0.32,0.397,0.717,0.281,8.7%,19.8%,11.1%,2.28,1.29,3.88,5.46,5.07,3.86,73.7%,57.4%,11.4%,31.2%,2.5%,14.3%
2023,Aiden May,Arizona,SO,5,3,6.33,16,16,0,0,0,75.1,97,57,53,33,77,9,0.314,0.392,0.472,0.864,0.385,9.2%,21.4%,12.3%,2.33,1.73,6.33,5.52,5.11,3.79,68.8%,50.9%,19.8%,29.3%,3.4%,14.7%
2023,Aiven Cabral,Northeastern,FR,9,4,2.58,19,16,1,1,0,83.2,78,27,24,14,69,8,0.245,0.291,0.31,0.601,0.297,4.0%,19.8%,15.8%,4.95,1.1,2.58,3.91,4.53,3.46,74.2%,50.2%,20.4%,29.4%,5.7%,5.6%
2023,Alec Couture,Hartford,SO,1,6,6.85,9,9,0,0,0,47.1,60,44,36,17,41,5,0.308,0.369,0.497,0.867,0.353,7.7%,18.5%,10.8%,2.4,1.63,6.85,5.49,5.73,4.15,59.8%,44.6%,15.9%,39.5%,7.0%,9.7%
2023,Alec Huertas,Long Island,SR,6,6,5.67,15,15,0,0,0,87.1,102,64,55,25,76,15,0.287,0.357,0.468,0.824,0.338,6.2%,18.7%,12.6%,3.02,1.45,5.67,5.27,5.22,3.92,65.6%,43.0%,24.8%,32.2%,4.8%,11.5%
2023,Alejandro Rosario,Miami,JR,5,6,7.11,18,15,0,0,0,74.2,81,62,59,41,92,12,0.267,0.376,0.436,0.812,0.35,11.5%,25.8%,14.3%,2.24,1.63,7.11,5.72,4.95,3.54,68.3%,49.3%,22.4%,28.3%,5.4%,19.0%
