W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,AVG,WHIP,BABIP,LOB%,FIP,E-F,K-BB%,Age,MaxAge,Season,PlayerName,Team,UPID,xMLBAMID,UPURL,teamid,FullTeamName
2.0,0.0,0.5744680734498842,10.0,1.0,0.0,0.0,3.0,15.2,68.0,12.0,2.0,1.0,0.0,8.0,0.0,2.0,0.0,18.0,10.340425322097914,4.595744587599073,2.25,0.0,0.26470588,0.11764706,0.2,1.2765957187775203,0.28571429,0.9,4.526976700355802,-3.952508626905918,0.14705882,,,2024,Tristan Curless,AAMU,sa3029708,,/players/tristan-curless/sa3029708/stats/batting,7,Alabama A&M University 
0.0,0.0,0.5869565339079429,16.0,0.0,0.0,0.0,0.0,15.1,64.0,7.0,2.0,1.0,0.0,12.0,3.0,3.0,0.0,14.0,8.2173914747112,7.043478406895314,1.16666667,0.0,0.21875,0.1875,0.14285714,1.239130460472324,0.2,0.90909091,5.04873836162185,-4.461781827713907,0.03125,,,2024,Dalton Hitt,ULM,sa3033881,,/players/dalton-hitt/sa3033881/stats/pitching,128,University of Louisiana at Monroe 
2.0,0.0,0.6,17.0,0.0,0.0,0.0,0.0,15.0,63.0,7.0,2.0,1.0,1.0,6.0,2.0,1.0,0.0,14.0,8.4,3.6,2.33333333,0.6,0.22222222,0.0952381,0.12727273,0.8666666666666667,0.15,0.95588235,4.693959522247314,-4.093959522247315,0.12698413,,,2024,Cole Benton,UNCW,sa3026999,,/players/cole-benton/sa3026999/stats/pitching,187,University of North Carolina Wilmington 
5.0,0.0,0.6206896551724138,25.0,0.0,0.0,0.0,1.0,29.0,120.0,22.0,4.0,2.0,1.0,21.0,4.0,0.0,0.0,27.0,8.379310344827585,6.517241379310345,1.28571429,0.3103448275862069,0.225,0.175,0.23157895,1.4827586206896552,0.31343284,0.94298246,5.592537560956232,-4.971847905783818,0.05,22.0,22.0,2024,Zach Fortuna,UML,sa3031566,,/players/zach-fortuna/sa3031566/stats/pitching,142,University of Massachusetts at Lowell 
1.0,0.0,0.7714285504088115,3.0,1.0,0.0,0.0,0.0,11.2,43.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,3.8571427520440578,0.7714285504088115,5.0,0.0,0.11627907,0.02325581,0.16666667,0.6857142670300547,0.18918919,0.875,3.6515136882237025,-2.880085137814891,0.09302326,,,2024,Shawn McBroom,SMC,sa3037432,,/players/shawn-mcbroom/sa3037432/stats/pitching,246,St. Mary's College of California 
1.0,0.0,0.8059701263094624,20.0,0.0,0.0,0.0,1.0,22.1,94.0,19.0,2.0,2.0,1.0,7.0,6.0,3.0,0.0,20.0,8.059701263094624,2.8208954420831183,2.85714286,0.4029850631547312,0.21276596,0.07446809,0.2345679,1.1641790713358902,0.3,0.98039216,4.209209112272307,-3.403238985962845,0.13829787,20.0,20.0,2024,Christian Foutch,ARK,sa3031591,702257.0,/players/christian-foutch/sa3031591/stats/pitching,13,University of Arkansas Fayetteville 
4.0,0.0,1.0188679611950267,13.0,0.0,0.0,0.0,1.0,17.2,68.0,11.0,2.0,2.0,0.0,5.0,2.0,1.0,0.0,12.0,6.11320776717016,2.5471699029875667,2.4,0.0,0.17647059,0.07352941,0.18032787,0.9056604099511348,0.2244898,0.88888889,3.7774888211444164,-2.7586208599493895,0.10294118,20.0,20.0,2024,Zacary Tenn,HAW,sa3043625,,/players/zacary-tenn/sa3043625/stats/pitching,94,University of Hawaii Manoa 
0.0,0.0,1.125,18.0,0.0,0.0,0.0,0.0,16.0,67.0,8.0,3.0,2.0,0.0,12.0,2.0,0.0,0.0,10.0,5.625,6.75,0.83333333,0.0,0.14925373,0.17910448,0.1509434,1.25,0.18604651,0.86363636,5.232230377197266,-4.107230377197266,-0.02985075,20.0,20.0,2024,Joseph Fredericks,WVU,sa3031675,,/players/joseph-fredericks/sa3031675/stats/pitching,296,West Virginia University 
4.0,0.0,1.2272727006723079,8.0,6.0,0.0,0.0,0.0,29.1,113.0,23.0,5.0,4.0,0.0,4.0,1.0,2.0,0.0,37.0,11.352272481218847,1.2272727006723079,9.25,0.0,0.32743363,0.03539823,0.21296296,0.9204545255042309,0.32394366,0.82142857,1.6605321019641615,-0.4332594012918536,0.2920354,21.0,21.0,2024,Nate Dohm,MSST,sa3030418,702296.0,/players/nathaniel-dohm/sa3030418/stats/pitching,155,Mississippi State University 
2.0,0.0,1.2857142857142858,11.0,0.0,0.0,0.0,1.0,14.0,55.0,6.0,3.0,2.0,0.0,7.0,3.0,0.0,0.0,14.0,9.0,4.5,2.0,0.0,0.25454545,0.12727273,0.13333333,0.9285714285714286,0.19354839,0.8125,4.562980910709927,-3.277266624995641,0.12727273,21.0,21.0,2024,Landon White,BRY,sa3045122,,/players/landon-white/sa3045122/stats/pitching,31,Bryant University 
