Rank,Name,W,L,T,PCT
1,Vanderbilt,59,12,0,0.831
2,UCLA,52,11,0,0.825
3,UC Santa Barbara,45,11,0,0.804
4,Mississippi St.,52,15,0,0.776
5,Central Mich.,47,14,0,0.77
6,Stanford,45,14,0,0.763
7,Creighton,41,13,0,0.759
8,Louisville,51,18,0,0.739
9,Georgia,46,17,0,0.73
10,East Carolina,47,18,0,0.723
11,Wright St.,42,17,0,0.712
12,Fresno St.,40,16,1,0.711
13,North Carolina,46,19,0,0.708
14,Indiana St.,43,18,0,0.705
15,Arkansas,46,20,0,0.697
,Texas Tech,46,20,0,0.697
17,Navy,39,17,0,0.696
18,Michigan,50,22,0,0.694
19,Georgia Tech,43,19,0,0.694
20,New Mexico St.,38,17,0,0.691
21,NC State,42,19,0,0.689
22,UC Irvine,37,17,0,0.685
23,Samford,41,19,0,0.683
24,DBU,43,20,0,0.683
25,BYU,36,17,0,0.679
26,VCU,39,19,0,0.672
27,Miami (FL),41,20,0,0.672
28,Liberty,43,21,0,0.672
29,Ball St.,38,19,0,0.667
,Arizona St.,38,19,0,0.667
,Bryant,40,20,0,0.667
32,Fla. Atlantic,41,21,0,0.661
33,Miami (OH),37,19,0,0.661
34,Southern Miss.,40,21,0,0.656
,Oklahoma St.,40,21,0,0.656
,Morehead St.,40,21,0,0.656
,Tennessee,40,21,0,0.656
38,Baylor,35,19,0,0.648
39,Florida St.,42,23,0,0.646
40,Texas St.,36,20,0,0.643
41,Oregon St.,36,20,1,0.64
42,Campbell,37,21,0,0.638
43,West Virginia,38,22,0,0.633
44,Illinois,36,21,0,0.632
,Col. of Charleston,36,21,0,0.632
46,UNC Greensboro,34,20,0,0.63
47,Jacksonville St.,39,23,0,0.629
48,Harvard,27,16,0,0.628
49,UIW,37,22,0,0.627
50,Texas A&M,39,23,1,0.627
51,Old Dominion,35,21,0,0.625
52,Milwaukee,35,21,1,0.623
53,UCF,36,22,0,0.621
54,Bradley,31,19,0,0.62
55,ETSU,34,21,0,0.618
,UTRGV,34,21,0,0.618
,FGCU,34,21,0,0.618
58,Indiana,37,23,0,0.617
59,California,32,20,0,0.615
,Sacramento St.,40,25,0,0.615
