teamid,Team,FullTeamName,conference_id,conference
59,DAV,Davidson College ,25,A-10
60,DAY,University of Dayton ,25,A-10
80,FOR,Fordham University ,25,A-10
83,GMU,George Mason University ,25,A-10
84,GW,George Washington University ,25,A-10
244,JOES,Saint Joseph's University ,25,A-10
141,MASS,University of Massachusetts Amherst ,25,A-10
216,RICH,University of Richmond ,25,A-10
243,SBU,St. Bonaventure University ,25,A-10
245,SLU,Saint Louis University ,25,A-10
214,URI,University of Rhode Island,25,A-10
286,VCU,Virginia Commonwealth University ,25,A-10
186,CLT,University of North Carolina Charlotte ,24,AAC
65,ECU,East Carolina University ,24,AAC
75,FAU,Florida Atlantic University ,24,AAC
144,MEM,University of Memphis ,24,AAC
215,RICE,Rice University ,24,AAC
273,TULN,Tulane University ,24,AAC
5,UAB,University of Alabama at Birmingham ,24,AAC
233,USF,University of South Florida ,24,AAC
262,UTSA,University of Texas at San Antonio ,24,AAC
299,WICH,Wichita State University ,24,AAC
26,BC,Boston College ,1,ACC
37,CAL,University of California Berkeley ,1,ACC
49,CLEM,Clemson University ,1,ACC
64,DUKE,Duke University ,1,ACC
78,FSU,Florida State University ,1,ACC
88,GT,Georgia Institute of Technology ,1,ACC
129,LOU,University of Louisville ,1,ACC
148,MIA,University of Miami (Florida) ,1,ACC
176,NCSU,North Carolina State University ,1,ACC
191,ND,University of Notre Dame ,1,ACC
205,PITT,University of Pittsburgh ,1,ACC
250,STAN,Stanford University ,1,ACC
175,UNC,University of North Carolina Chapel Hill ,1,ACC
285,UVA,University of Virginia ,1,ACC
288,VT,Virginia Polytechnic Institute & State University ,1,ACC
290,WAKE,Wake Forest University ,1,ACC
19,APSU,Austin Peay State University ,10,ASUN
23,BELL,Bellarmine University ,10,ASUN
46,CARK,University of Central Arkansas ,10,ASUN
68,EKU,Eastern Kentucky University ,10,ASUN
79,FGCU,Florida Gulf Coast University ,10,ASUN
109,JAX,Jacksonville University ,10,ASUN
124,LIP,Lipscomb University ,10,ASUN
211,QUC,Queens University of Charlotte,10,ASUN
251,STET,Stetson University ,10,ASUN
190,UNA,University of North Alabama ,10,ASUN
180,UNF,University of North Florida ,10,ASUN
312,WES,University of West Georgia ,10,ASUN
8,ALB,University at Albany ,29,America East
25,BING,State University of New York at Binghamton ,29,America East
31,BRY,Bryant University ,29,America East
134,ME,University of Maine Orono ,29,America East
171,NJIT,New Jersey Institute of Technology ,29,America East
137,UMBC,University of Maryland Baltimore County ,29,America East
142,UML,University of Massachusetts at Lowell ,29,America East
12,ARIZ,University of Arizona ,26,Big 12
11,ASU,Arizona State University ,26,Big 12
21,BAY,Baylor University ,26,Big 12
29,BYU,Brigham Young University ,26,Big 12
48,CIN,University of Cincinnati ,26,Big 12
98,HOU,University of Houston ,26,Big 12
114,KSU,Kansas State University ,26,Big 12
113,KU,University of Kansas ,26,Big 12
196,OKST,Oklahoma State University ,26,Big 12
259,TCU,Texas Christian University ,26,Big 12
260,TTU,Texas Tech University ,26,Big 12
43,UCF,University of Central Florida ,26,Big 12
280,UTAH,University of Utah ,26,Big 12
296,WVU,West Virginia University ,26,Big 12
33,BUT,Butler University ,30,Big East
53,CONN,University of Connecticut ,30,Big East
56,CREI,Creighton University ,30,Big East
85,GTWN,Georgetown University ,30,Big East
228,HALL,Seton Hall University ,30,Big East
247,SJU,St. John's University (New York) ,30,Big East
284,VILL,Villanova University ,30,Big East
305,XAV,Xavier University ,30,Big East
47,CHSO,Charleston Southern University ,8,Big South
82,GWEB,Gardner-Webb University ,8,Big South
95,HPU,High Point University ,8,Big South
126,LONG,Longwood University ,8,Big South
208,PRES,Presbyterian College ,8,Big South
213,RAD,Radford University ,8,Big South
177,UNCA,University of North Carolina Asheville ,8,Big South
242,UPST,University of South Carolina Upstate ,8,Big South
301,WIN,Winthrop University ,8,Big South
100,ILL,University of Illinois Urbana-Champaign ,11,Big Ten
107,IOWA,University of Iowa ,11,Big Ten
104,IU,Indiana University Bloomington ,11,Big Ten
136,MD,University of Maryland College Park ,11,Big Ten
150,MICH,University of Michigan ,11,Big Ten
153,MINN,University of Minnesota Twin Cities ,11,Big Ten
151,MSU,Michigan State University ,11,Big Ten
164,NEB,University of Nebraska Lincoln ,11,Big Ten
184,NU,Northwestern University ,11,Big Ten
200,ORE,University of Oregon,11,Big Ten
194,OSU,Ohio State University ,11,Big Ten
203,PSU,Pennsylvania State University ,11,Big Ten
210,PUR,Purdue University ,11,Big Ten
218,RUTG,Rutgers State Univ of New Jersey New Brunswick ,11,Big Ten
279,UCLA,University of California Los Angeles ,11,Big Ten
237,USC,University of Southern California ,11,Big Ten
291,WASH,University of Washington ,11,Big Ten
34,CP,California Polytechnic State University ,19,Big West
40,CSUB,California State University Bakersfield,19,Big West
35,CSUF,California State University Fullerton ,19,Big West
36,CSUN,California State University Northridge ,19,Big West
94,HAW,University of Hawaii Manoa ,19,Big West
125,LBSU,Long Beach State University ,19,Big West
277,UCD,University of California Davis ,19,Big West
274,UCI,University of California Irvine ,19,Big West
276,UCR,University of California Riverside ,19,Big West
275,UCSB,University of California Santa Barbara ,19,Big West
278,UCSD,University of California San Diego ,19,Big West
57,DBU,Dallas Baptist University ,21,C-USA
76,FIU,Florida International University ,21,C-USA
110,JVST,Jacksonville State University ,21,C-USA
115,KENN,Kennesaw State University ,21,C-USA
122,LIB,Liberty University ,21,C-USA
132,LT,Louisiana Tech University ,21,C-USA
152,MTSU,Middle Tennessee State University ,21,C-USA
169,NMSU,New Mexico State University ,21,C-USA
220,SHSU,Sam Houston State University ,21,C-USA
294,WKU,Western Kentucky University ,21,C-USA
41,CAM,Campbell University ,20,CAA
51,COFC,College of Charleston (South Carolina) ,20,CAA
61,DEL,University of Delaware ,20,CAA
70,ELON,Elon University ,20,CAA
96,HOF,Hofstra University ,20,CAA
159,MONM,Monmouth University ,20,CAA
188,NCAT,North Carolina A&T State University ,20,CAA
181,NE,Northeastern University ,20,CAA
253,STBK,Stony Brook University ,20,CAA
271,TOW,Towson University ,20,CAA
