Rank,Name,W,L,T,PCT
1,Tennessee,59,13,0,0.819
2,Texas A&M,53,14,0,0.791
3,UC Irvine,45,14,0,0.763
4,UC Santa Barbara,44,14,0,0.759
5,North Carolina,48,16,0,0.75
,DBU,45,15,0,0.75
7,Indiana St.,44,15,0,0.746
,Lamar University,44,15,0,0.746
9,Col. of Charleston,41,14,0,0.745
10,Florida St.,49,17,0,0.742
11,Kentucky,46,16,0,0.742
12,Oregon St.,45,16,0,0.738
13,Arkansas,44,16,0,0.733
,Clemson,44,16,0,0.733
15,San Diego,41,15,0,0.732
16,Virginia,46,17,0,0.73
,East Carolina,46,17,0,0.73
18,Georgia,43,17,0,0.717
19,Louisiana Tech,45,19,0,0.703
20,Hawaii,37,16,0,0.698
,Saint Louis,37,16,0,0.698
22,Niagara,38,17,0,0.691
,Northeastern,38,17,0,0.691
24,Oklahoma St.,42,19,0,0.689
25,Southern Miss.,43,20,0,0.683
26,Louisiana,42,20,0,0.677
,Wofford,42,20,0,0.677
28,St. John's (NY),38,18,1,0.675
29,Creighton,35,17,0,0.673
30,Duke,40,20,0,0.667
,Oregon,40,20,0,0.667
32,Portland,37,19,0,0.661
33,Oklahoma,40,21,0,0.656
,UNCW,40,21,0,0.656
35,California,36,19,0,0.655
36,LSU,43,23,0,0.652
37,Stetson,41,22,0,0.651
38,Murray St.,37,20,0,0.649
39,Nebraska,40,22,0,0.645
40,Jackson St.,36,20,0,0.643
,ETSU,36,20,0,0.643
42,UCF,37,21,0,0.638
43,UIC,35,20,0,0.636
44,Mississippi St.,40,23,0,0.635
45,Wake Forest,38,22,0,0.633
,Nicholls,38,22,0,0.633
47,Georgetown,36,21,0,0.632
,Bryant,36,21,0,0.632
49,Troy,37,22,0,0.627
50,Illinois,35,21,0,0.625
,Austin Peay,35,21,0,0.625
52,NC State,38,23,0,0.623
,Vanderbilt,38,23,0,0.623
,VCU,38,23,0,0.623
55,Bowling Green,33,20,0,0.623
56,Samford,36,22,0,0.621
,Western Ky.,36,22,0,0.621
58,Cal Poly,35,22,0,0.614
59,California Baptist,38,24,0,0.613
60,UNC Greensboro,33,21,0,0.611
,TCU,33,21,0,0.611
62,Arizona,36,23,0,0.61
63,App State,33,21,1,0.609
64,Saint Mary's (CA),34,22,0,0.607
,Maryland,34,22,0,0.607
66,Morehead St.,37,24,0,0.607
67,Sacred Heart,35,23,0,0.603
68,Ball St.,35,23,1,0.602
69,USC Upstate,36,24,0,0.6
,West Virginia,36,24,0,0.6
,Utah,33,22,0,0.6
,Dayton,33,22,0,0.6
,Evansville,39,26,0,0.6
,Texas,36,24,0,0.6
75,South Carolina,37,25,0,0.597
76,Northern Ky.,35,24,0,0.593
77,Virginia Tech,32,22,0,0.593
78,Columbia,26,18,0,0.591
79,Coastal Carolina,36,25,0,0.59
,Grand Canyon,36,25,0,0.59
,James Madison,36,25,0,0.59
82,Fairfield,34,24,0,0.586
,Sam Houston,34,24,0,0.586
84,Campbell,31,22,0,0.585
85,Western Mich.,32,23,0,0.582
86,Tulane,36,26,0,0.581
87,Alabama,33,24,0,0.579
,Purdue,33,24,0,0.579
89,Iowa,31,23,0,0.574
,Army West Point,31,23,0,0.574
,Kansas,31,23,0,0.574
92,UConn,35,26,0,0.574
,Kansas St.,35,26,0,0.574
94,UTSA,32,24,0,0.571
,Southeast Mo. St.,36,27,0,0.571
,Kennesaw St.,32,24,0,0.571
,Little Rock,32,24,0,0.571
,Louisville,32,24,0,0.571
,Wright St.,32,24,0,0.571
100,Georgia Tech,33,25,0,0.569
,LIU,33,25,0,0.569
,Abilene Christian,33,25,0,0.569
103,High Point,35,27,0,0.565
104,Cincinnati,32,25,0,0.561
105,Texas Tech,33,26,0,0.559
,Merrimack,33,26,0,0.559
,Ga. Southern,33,26,0,0.559
108,Indiana,33,26,1,0.558
109,CSUN,30,24,0,0.556
110,South Alabama,31,25,0,0.554
111,William & Mary,32,26,0,0.552
,Arizona St.,32,26,0,0.552
113,Southern Ill.,33,27,0,0.55
114,Rider,28,23,0,0.549
,Navy,28,23,0,0.549
116,Penn St.,29,24,0,0.547
117,Florida,36,30,0,0.545
118,George Washington,31,26,0,0.544
,Delaware,31,26,0,0.544
,Old Dominion,31,26,0,0.544
,New Orleans,31,26,0,0.544
122,McNeese,32,27,0,0.542
,Bethune-Cookman,32,27,0,0.542
124,UTRGV,29,25,0,0.537
125,FGCU,30,26,0,0.536
126,Oakland,31,27,0,0.534
127,Michigan,32,28,0,0.533
128,Fresno St.,33,29,0,0.532
129,Rutgers,28,25,0,0.528
130,Tennessee Tech,29,26,0,0.527
,Prairie View,29,26,0,0.527
,Saint Joseph's,29,26,0,0.527
,Ohio St.,29,26,0,0.527
134,Xavier,30,27,0,0.526
,Illinois St.,30,27,0,0.526
136,Southern California,31,28,0,0.525
137,Wichita St.,32,29,0,0.525
138,Minnesota,25,23,0,0.521
139,Notre Dame,27,25,0,0.519
,UMBC,27,25,0,0.519
141,Western Caro.,28,26,0,0.519
,New Mexico,28,26,0,0.519
143,Presbyterian,29,27,0,0.518
,UC Davis,29,27,0,0.518
,Florida A&M,29,27,0,0.518
,Alabama St.,29,27,0,0.518
147,Southeastern La.,30,28,0,0.517
148,Lehigh,24,23,1,0.51
149,Auburn,27,26,0,0.509
150,Miami (OH),27,27,0,0.5
,UNLV,26,26,0,0.5
,Santa Clara,26,26,0,0.5
,Utah Valley,29,29,0,0.5
,Mercer,29,29,0,0.5
,Kent St.,27,27,0,0.5
156,Fla. Atlantic,28,29,0,0.491
157,Air Force,27,28,0,0.491
158,Holy Cross,26,27,0,0.491
159,Nevada,25,26,0,0.49
160,Penn,24,25,0,0.49
161,VMI,27,29,0,0.482
,Ole Miss,27,29,0,0.482
,Texas St.,27,29,0,0.482
164,Grambling,26,28,0,0.481
,NJIT,26,28,0,0.481
,Houston,26,28,0,0.481
167,Texas Southern,23,25,0,0.479
168,Bucknell,22,24,0,0.478
169,FIU,27,30,0,0.474
,Miami (FL),27,30,0,0.474
171,South Fla.,26,29,0,0.473
,UAB,26,29,0,0.473
,Pittsburgh,26,29,0,0.473
174,N.C. A&T,25,28,0,0.472
175,Michigan St.,24,27,0,0.471
176,Jacksonville,27,31,0,0.466
177,Wagner,26,30,0,0.464
,Central Ark.,26,30,0,0.464
,FDU,26,30,0,0.464
180,Long Beach St.,25,29,1,0.464
181,New Mexico St.,25,29,0,0.463
182,Stony Brook,24,28,0,0.462
,Davidson,24,28,0,0.462
184,Oral Roberts,27,32,1,0.458
185,Toledo,27,32,0,0.458
,Richmond,27,32,0,0.458
187,UIW,26,31,0,0.456
,Sacramento St.,26,31,0,0.456
189,ULM,25,30,0,0.455
190,Massachusetts,24,29,0,0.453
191,Delaware St.,22,27,0,0.449
192,Belmont,26,32,0,0.448
193,Cornell,17,21,0,0.447
194,LMU (CA),24,30,0,0.444
,Seton Hall,24,30,0,0.444
196,Longwood,23,29,0,0.442
197,UNC Asheville,22,28,0,0.44
198,Yale,18,23,0,0.439
199,Georgia St.,25,32,0,0.439
200,UMass Lowell,24,31,0,0.436
201,Southern U.,22,29,0,0.431
202,Central Conn. St.,18,24,0,0.429
203,Manhattan,22,30,0,0.423
204,Hofstra,24,33,0,0.421
,San Jose St.,24,33,0,0.421
206,Binghamton,21,29,0,0.42
207,Missouri,23,32,0,0.418
,Memphis,23,32,0,0.418
209,Baylor,22,31,0,0.415
,Boston College,22,31,0,0.415
,Gardner-Webb,22,31,0,0.415
212,Liberty,24,34,0,0.414
,Charlotte,24,34,0,0.414
214,North Florida,21,30,1,0.413
215,Princeton,18,26,0,0.409
216,South Dakota St.,20,29,0,0.408
217,Charleston So.,22,32,0,0.407
218,Rhode Island,19,28,0,0.404
219,BYU,21,31,0,0.404
220,Missouri St.,23,34,0,0.404
221,North Dakota St.,20,30,1,0.402
222,Northwestern St.,22,33,0,0.4
,Quinnipiac,20,30,0,0.4
,Stanford,22,33,0,0.4
225,Arkansas St.,21,32,1,0.398
226,Winthrop,19,29,1,0.398
227,Washington St.,21,32,0,0.396
,The Citadel,21,32,0,0.396
,George Mason,21,32,0,0.396
,Gonzaga,21,32,0,0.396
,Elon,21,32,0,0.396
232,Mount St. Mary's,22,34,1,0.395
233,UT Arlington,22,34,0,0.393
,Lipscomb,22,34,0,0.393
235,Rice,23,36,0,0.39
236,NIU,21,33,0,0.389
237,A&M-Corpus Christi,22,35,0,0.386
238,SIUE,21,34,1,0.384
239,Washington,19,31,1,0.382
240,San Francisco,21,34,0,0.382
241,Eastern Ill.,20,33,0,0.377
242,Canisius,18,30,0,0.375
,UT Martin,21,35,0,0.375
,Monmouth,18,30,0,0.375
245,St. Bonaventure,18,31,0,0.367
,Houston Christian,18,31,0,0.367
247,UCLA,19,33,0,0.365
,Fordham,19,33,0,0.365
249,Butler,20,35,0,0.364
,Marist,20,35,0,0.364
251,Omaha,18,32,1,0.363
252,Eastern Ky.,21,37,0,0.362
253,Ohio,18,32,0,0.36
254,Middle Tenn.,20,36,0,0.357
255,Villanova,18,33,0,0.353
256,Northwestern,18,34,0,0.346
,Jacksonville St.,18,34,0,0.346
258,Milwaukee,19,36,0,0.345
259,North Ala.,18,35,1,0.343
260,Purdue Fort Wayne,19,37,0,0.339
261,Dartmouth,13,26,0,0.333
,Harvard,13,26,0,0.333
263,Marshall,18,37,0,0.327
264,Seattle U,17,36,0,0.321
265,Radford,16,34,0,0.32
266,San Diego St.,17,37,0,0.315
267,UAlbany,15,34,1,0.31
268,Central Mich.,17,38,0,0.309
269,UC Riverside,16,36,0,0.308
270,Ark.-Pine Bluff,15,34,0,0.306
271,Northern Colo.,16,38,1,0.3
272,Cal St. Fullerton,16,38,0,0.296
273,Lafayette,14,35,0,0.286
274,Pepperdine,15,38,0,0.283
,CSU Bakersfield,15,38,0,0.283
276,Brown,11,28,0,0.282
277,Akron,15,39,0,0.278
,Towson,15,39,0,0.278
279,Valparaiso,14,38,0,0.269
,Eastern Mich.,14,38,0,0.269
281,Coppin St.,12,33,0,0.267
,Youngstown St.,16,44,0,0.267
283,Bradley,13,37,1,0.265
284,Mississippi Val.,12,34,0,0.261
285,Western Ill.,13,37,0,0.26
286,Alabama A&M,13,38,0,0.255
287,Maine,12,37,0,0.245
288,Iona,12,38,0,0.24
289,Siena,12,40,0,0.231
,Saint Peter's,12,40,0,0.231
291,Norfolk St.,12,41,0,0.226
292,Pacific,11,44,0,0.2
293,SFA,10,44,0,0.185
294,Alcorn,6,43,0,0.122
295,UMES,0,48,0,0
