Rank,Name,Conference,G,W-L,AB,H,BA
1,New Mexico,Mountain West,53,30-23,1924,649,0.337
2,Austin Peay,Atlantic Sun,59,45-14,2014,670,0.333
3,High Point,Big South,58,39-19,2037,675,0.331
4,Central Conn. St.,Northeast,48,31-17,1676,551,0.329
5,George Mason,Atlantic 10,61,40-21,2078,677,0.326
6,UCF,Big 12,55,29-26,1917,612,0.319
7,Alabama St.,SWAC,60,31-29,2123,672,0.317
8,Cal Poly,Big West,62,43-19,2212,700,0.316
9,Richmond,Atlantic 10,52,33-19,1787,564,0.316
10,USC Upstate,Big South,61,36-25,2175,685,0.315
11,Western Ky.,Conference USA,60,46-14,2029,639,0.315
12,Georgia Tech,ACC,60,41-19,2009,632,0.315
13,Arizona St.,Big 12,60,36-24,2066,649,0.314
14,Wagner,Northeast,53,31-22,1833,575,0.314
15,UTSA,American Athletic,62,47-15,2098,655,0.312
16,Southern U.,SWAC,51,24-27,1652,515,0.312
17,Kent St.,Mid-American,56,38-18,1876,584,0.311
18,Florida St.,ACC,58,42-16,2003,622,0.311
19,William & Mary,Coastal Athletic,56,21-35,1942,603,0.311
20,UConn,Big East,59,38-21,2042,633,0.31
21,VMI,Southern Conference,53,27-26,1711,530,0.31
22,Western Caro.,Southern Conference,58,30-28,2002,620,0.31
23,Virginia,ACC,50,32-18,1727,534,0.309
24,Arkansas,SEC,65,50-15,2174,672,0.309
25,ETSU,Southern Conference,58,41-17,2008,620,0.309
26,UTRGV,Southland,54,36-18,1836,564,0.307
27,Rhode Island,Atlantic 10,60,38-22,2075,637,0.307
28,Jackson St.,SWAC,51,30-21,1600,490,0.306
29,Wake Forest,ACC,61,39-22,2074,635,0.306
30,Bethune-Cookman,SWAC,60,37-23,1966,601,0.306
31,Charleston So.,Big South,53,31-22,1856,566,0.305
32,Louisville,ACC,66,42-24,2221,677,0.305
33,Quinnipiac,Metro Atlantic,56,29-26-1,1998,608,0.304
34,Southern Ill.,Missouri Valley,57,37-20,1982,603,0.304
35,Mississippi St.,SEC,59,36-23,1973,600,0.304
36,Dayton,Atlantic 10,58,27-31,2008,610,0.304
37,Auburn,SEC,61,41-20,2065,627,0.304
38,Utah Valley,WAC,62,33-29,2177,661,0.304
39,Murray St.,Missouri Valley,61,44-17,2149,650,0.302
40,Fresno St.,Mountain West,60,31-29,2114,637,0.301
41,DBU,Conference USA,59,41-18,1956,589,0.301
42,Southern Miss.,Sun Belt,63,47-16,2166,652,0.301
43,Lamar University,Southland,57,40-17,1948,586,0.301
44,St. John's (NY),Big East,53,29-24,1877,563,0.3
45,Tarleton St.,WAC,56,24-32,1914,574,0.3
46,Tennessee,SEC,65,46-19,2151,645,0.3
47,UC Irvine,Big West,60,43-17,2077,622,0.299
