School	Park Factor	3YR	6YR
Charles Schwab Field (Omaha)	0.85	1.11	1.01
Texas A&M-CC	0.85	0.82	0.88
ACU	1.22	1.18	1.26
Air Force	1.45	1.41	1.50
Alabama	1.03	1.06	1.01
AL A&M	0.96	0.97	0.94
Alabama St.	0.98	0.97	1.00
Alcorn	1.02	1.02	1.03
Appalachian St.	1.35	1.37	1.34
Arizona	1.07	1.02	1.11
Arizona St.	1.01	1.02	1.00
Pine Bluff	0.81	0.77	0.84
Arkansas	1.01	0.99	1.03
Arkansas St.	0.90	0.85	0.94
Army	1.00	1.03	0.98
Auburn	1.09	1.12	1.06
Austin Peay	1.19	1.16	1.22
BYU	1.27	1.28	1.25
Ball State	1.28	1.29	1.27
Baylor	0.98	0.94	1.03
Belmont	0.90	0.85	0.96
Cookman	0.93	0.91	0.95
Binghamton	0.87	0.88	0.86
Boston College	1.05	1.08	1.01
BGSU	1.08	1.09	1.08
Bradley	0.87	0.86	0.87
Brown	1.11	1.11	1.10
Bryant	1.18	1.22	1.15
Bucknell	0.96	0.96	0.97
Butler	0.95	0.95	0.96
CSUB	1.13	1.16	1.10
CSUN	1.32	1.35	1.30
Cal Poly	1.02	1.02	1.02
CS Fullerton	0.97	1.01	0.92
California	1.06	1.06	1.07
Campbell	0.85	0.84	0.86
Canisius	1.17	1.21	1.13
Central AR	1.00	1.02	0.98
Central CT	1.03	1.02	1.03
Central MI	0.87	0.86	0.88
CSU	1.10	1.09	1.11
Charlotte	1.02	0.98	1.05
Cincinnati	1.09	1.09	1.09
Clemson	0.96	0.95	0.98
Coastal Carolina	1.23	1.30	1.16
Charleston	1.07	1.11	1.02
Columbia	1.30	1.37	1.22
Coppin	1.04	1.01	1.07
Cornell	0.96	0.96	0.96
Creighton	0.84	0.87	0.81
Dallas Baptist	1.04	1.08	1.01
Dartmouth	0.88	0.86	0.90
Davidson	1.04	1.04	1.05
Dayton	1.11	1.11	1.11
Delaware	1.24	1.27	1.20
Delaware St.	1.00	0.91	1.08
Duke	0.97	0.97	0.97
ETSU	1.00	1.01	0.98
East Carolina	1.08	1.06	1.10
Eastern IL	1.07	1.01	1.12
EKU	1.03	1.05	1.00
Eastern MI	0.96	1.01	0.92
Elon	1.02	1.05	0.99
Evansville	0.97	0.96	0.98
FGCU	0.97	0.97	0.98
FIU	1.02	1.00	1.04
Fairfield	0.93	0.87	0.99
FDU	1.01	1.01	1.01
Fla. Atlantic	1.05	1.08	1.01
Florida	1.06	1.06	1.05
Florida A&M	0.99	0.99	0.99
Florida St.	1.00	0.98	1.03
Fordham	0.85	0.85	0.85
Fresno St.	0.88	0.87	0.89
Ga. Southern	0.93	0.90	0.96
Gard.-Webb	0.90	0.89	0.91
Mason	0.98	1.03	0.94
George Wash.	1.01	0.97	1.05
Georgetown	1.06	1.05	1.07
Georgia	1.01	1.03	1.00
GA State	1.05	1.07	1.04
Georgia Tech	1.20	1.23	1.16
Gonzaga	0.87	0.77	0.97
Grambling	1.13	1.17	1.09
GCU	0.96	0.92	1.01
Hartford	1.25	1.27	1.22
Harvard	1.17	1.16	1.18
Hawaii	0.86	0.84	0.87
High Point	0.97	0.95	0.99
Hofstra	1.05	1.02	1.08
Holy Cross	0.95	0.95	0.94
Houston	0.99	1.02	0.96
HCU	1.20	1.18	1.22
Illinois	1.12	1.13	1.10
Illinois St.	0.84	0.86	0.83
Indiana	1.15	1.20	1.11
Indiana St.	0.92	0.90	0.94
Iona	0.90	0.90	0.89
Iowa	1.10	1.10	1.09
Jackson St.	0.95	0.92	0.98
Jacksonville	0.91	0.91	0.92
Jacksonville St.	0.90	0.89	0.91
JMU	1.14	1.10	1.19
Kansas	1.16	1.19	1.14
Kansas St.	1.01	0.99	1.03
Kennesaw	1.16	1.17	1.15
Kent State	1.02	1.04	1.00
Kentucky	1.02	1.00	1.03
LIU	0.93	0.85	1.00
LMU	1.11	1.11	1.11
LSU	1.12	1.13	1.12
La Salle	1.00	0.95	1.04
Lafayette	1.01	0.96	1.07
Lamar	0.81	0.80	0.81
Lehigh	0.86	0.83	0.90
Liberty	1.02	1.08	0.95
Lipscomb	1.02	1.06	0.98
Little Rock	0.91	0.89	0.92
Long Beach	0.75	0.70	0.79
Longwood	1.15	1.18	1.13
Louisiana	0.88	0.86	0.90
LA Tech	1.03	1.00	1.06
Louisville	1.08	1.10	1.06
Maine	0.79	0.74	0.83
Manhattan	1.02	1.06	0.99
Marist	1.22	1.25	1.18
Marshall	0.99	1.00	0.99
Maryland	1.04	1.07	1.01
UMass	1.18	1.25	1.10
McNeese	1.00	1.02	0.98
Memphis	1.01	1.01	1.01
Mercer	1.08	1.04	1.11
Miami (FL)	0.99	1.00	0.98
Miami OH	0.91	0.90	0.92
Michigan	1.06	1.02	1.10
Michigan St.	0.89	0.87	0.90
Middle TN	1.03	1.03	1.04
Milwaukee	0.91	0.85	0.98
Minnesota	0.93	0.97	0.89
Mississippi St.	1.12	1.03	1.21
MS Valley	1.02	1.09	0.94
Missouri	1.08	1.10	1.05
Missouri St.	0.94	0.92	0.96
Monmouth	0.93	0.94	0.92
Morehead	1.42	1.37	1.47
The Mount	1.14	1.19	1.09
Murray St.	1.02	1.01	1.03
NC A&T	1.01	1.00	1.02
NC Central	0.97	0.97	0.98
NC State	0.99	0.92	1.07
Northern IL	1.14	1.18	1.11
NJIT	0.91	0.83	0.99
Navy	1.03	1.06	1.00
Nebraska	1.05	1.03	1.06
Nevada	1.35	1.42	1.27
New Mexico	1.34	1.30	1.37
NM State	1.26	1.21	1.32
New Orleans	1.06	1.06	1.05
Niagara	0.94	0.93	0.94
Nicholls	0.90	0.88	0.92
Norfolk St.	0.83	0.80	0.86
UNC	0.94	0.93	0.95
ND State	1.11	1.10	1.12
North FL	1.10	1.07	1.13
N-Eastern	0.80	0.77	0.83
Northern CO	1.18	1.21	1.15
NKU	1.19	1.21	1.17
N-Western	0.90	0.88	0.93
NW State	1.00	1.02	0.97
Notre Dame	0.93	0.98	0.88
Oakland	1.19	1.19	1.19
Ohio	0.97	0.89	1.04
Ohio State	0.99	0.97	1.01
Oklahoma	1.09	1.10	1.09
Oklahoma St.	1.01	1.00	1.02
ODU	1.03	1.06	1.00
Ole Miss	1.20	1.23	1.16
Omaha	0.90	0.84	0.95
Oral Roberts	0.89	0.89	0.89
Oregon	0.79	0.80	0.78
Oregon St.	0.98	0.98	0.99
Pacific	1.15	1.18	1.12
Penn	1.02	0.98	1.07
Penn State	1.20	1.20	1.19
Pepperdine	0.81	0.81	0.82
Pittsburgh	1.14	1.13	1.15
Portland	1.01	1.00	1.02
Prairie View	1.19	1.19	1.19
Presbyterian	0.85	0.84	0.86
Princeton	0.97	0.93	1.01
Purdue	0.98	1.02	0.94
Fort Wayne	1.11	1.17	1.04
Quinnipiac	1.09	1.12	1.06
Radford	1.04	1.03	1.05
URI	0.98	1.00	0.97
Rice	1.15	1.17	1.12
Richmond	1.27	1.27	1.27
Rider	1.11	1.11	1.11
Rutgers	0.97	1.01	0.93
SFA	1.06	1.10	1.01
SIUE	1.08	1.11	1.05
Sac State	0.82	0.81	0.82
Sacred Heart	1.07	1.10	1.05
St. Joseph's	0.91	0.90	0.92
Saint Louis	0.83	0.78	0.88
Saint Mary's	0.88	0.84	0.92
Saint Peter's	1.13	1.08	1.18
Salem	0.98	0.91	1.04
SHSU	1.05	1.04	1.07
Samford	0.88	0.87	0.89
San Diego	1.07	1.10	1.04
San Diego St.	0.84	0.84	0.83
San Fran.	0.93	0.94	0.91
San Jose St.	0.85	0.88	0.82
Santa Clara	1.12	1.11	1.13
Savannah St.	1.01	1.01	1.02
Seattle	0.87	0.89	0.86
Seton Hall	0.78	0.74	0.82
Siena	0.92	0.94	0.90
South AL	0.86	0.81	0.90
South Carolina	1.00	1.04	0.97
SD State	1.06	1.03	1.09
USF	0.96	0.97	0.95
SEMO	1.05	1.05	1.05
SE Louisiana	1.05	1.04	1.06
USC	0.90	0.86	0.93
Southern IL	1.02	1.05	1.00
Southern Miss	0.89	0.86	0.93
Southern	1.02	1.00	1.04
Bonaventure	1.07	1.08	1.07
St. John's	0.97	0.98	0.95
Stanford	0.92	0.97	0.88
Stetson	0.93	0.95	0.91
Stony Brook	0.96	0.90	1.02
TCU	1.00	0.98	1.02
Tennessee	1.17	1.25	1.09
TN Tech	1.07	1.09	1.05
Texas	1.17	1.26	1.08
Texas A&M	0.93	0.90	0.95
TX Southern	1.01	1.06	0.96
Texas State	1.20	1.21	1.19
Texas Tech	1.16	1.13	1.18
Citadel	0.88	0.85	0.90
Toledo	1.04	1.06	1.02
Towson	0.96	0.98	0.95
Troy	1.04	1.06	1.01
Tulane	0.93	0.94	0.92
UAB	0.94	0.93	0.95
Albany	1.13	1.15	1.12
UC Davis	0.99	0.96	1.01
UC Irvine	0.93	0.92	0.94
UC Riverside	1.07	1.04	1.11
UC Santa Barbara	0.87	0.87	0.88
UCF	1.00	1.02	0.98
UCLA	1.04	1.04	1.03
UConn	0.98	1.03	0.93
UIC	0.84	0.90	0.79
UIW	1.05	1.02	1.09
ULM	0.92	0.89	0.94
UMBC	1.23	1.30	1.15
UMES	0.90	0.99	0.82
UM Lowell	0.97	1.03	0.91
Asheville	1.03	1.02	1.04
UNCG	0.97	0.91	1.03
UNCW	0.85	0.84	0.86
UNLV	1.09	1.07	1.11
Upstate	1.06	1.02	1.10
UT Arlington	0.84	0.78	0.91
UT Martin	1.19	1.23	1.15
UTRGV	0.85	0.84	0.86
UTSA	0.99	0.93	1.04
Utah	1.10	1.11	1.09
Utah Valley	1.28	1.25	1.32
VCU	0.81	0.83	0.79
VMI	1.14	1.15	1.14
Valparaiso	1.17	1.24	1.10
Vanderbilt	0.92	0.88	0.95
Villanova	0.80	0.83	0.77
Virginia	1.18	1.22	1.14
Virginia Tech	1.04	1.05	1.04
Wagner	0.86	0.91	0.81
Wake Forest	1.02	0.99	1.05
Washington	0.93	0.94	0.91
Washington St.	1.09	1.07	1.11
West Virginia	0.94	0.94	0.94
WCU	1.30	1.35	1.26
Western IL	1.00	1.01	1.00
Western Ky.	0.92	0.91	0.93
Western MI	0.96	0.91	1.01
Wichita St.	1.06	1.12	1.00
W&M	1.11	1.14	1.09
Winthrop	1.02	1.08	0.96
Wofford	0.95	0.95	0.95
Wright St.	0.92	0.88	0.96
Xavier	1.12	1.07	1.16
Yale	0.76	0.78	0.74
Youngstown	1.13	1.21	1.04
